reviews,date,country,seat_type,recommended,stars,route,type_of_traveller,Verified,Contonation
"british airways crew going out from london heathrow to calgary were very keen and enthusiastic. they were also very good fun, which makes life more pleasant up in the sky. we do this flight every 6 months on our way to visit family in canada. food was good, but like other reviewers we've noticed little changes which make things not quite so special. for instance, the wine is not as pleasant as it used to be, and there used to be a choice of 2 types of red or white. one of our fellow passengers said he could have done with a bit more food. so take some snacks with you for the wee small hours. on the return journey, the dinner was good, but they ran out of beef in premium economy, and there were only 6 of us. we were given food from business, but it was served on a freezing cold plate, and just lacked finesse. i know this is only premium economy, but there were good standards a few years back. the breakfast before landing at heathrow was horrible, a bagel, with some cream cheese in it and some tooth breaking cereal bars. i must write and complain to ba about their breakfasts, and have done so once, with no effect. i will try again. the staff were very efficient and we felt safe, and there were regular drinks runs, but like many others who travel regularly with ba, we were a little disappointed, and hope that they will be kind enough to listen to their loyal customers of many years.",6th December 2016,United Kingdom,Premium Economy,yes,1,London to Tampa,Couple Leisure,Yes,Positive
"british airways from london to bangkok return. if you are thinking about flying british airways to bangkok. don't do it. thai airways or eva air for the same price offer a much better service (for direct flights). if you want the best go with emirates but it's a stop over flight. i fly this route 20 times a year. here are the key reasons why you should not fly with british airways. from my experience i believe they overbook flights so they are always full which increases the risk of being uncomfortable and not flying. the aircraft are very old. if you ask for a snack during the flight the staff love to tell you 'can you wait? service is in 20 mins' this has been tested a few times. they hate anyone who asks for a snack because it starts a chain reaction with other customers. the next service could be in 1 hour but they will still tell you 20 mins. entertainment is terrible and old and you will also keep accidentally pressing the service button and light with your arm. no phone charger and no usb port. no wifi. seats are very old, very uncomfortable",5th December 2016,United Kingdom,Economy Class,no,3,BLR to LHR,Business,Yes,Negative
"singapore to sydney in business class. the price was lowish so we booked—never again. seat comfort was almost non-existent with appalling ergonomics. the in-flight service hit a new low for me: absolutely shambolic, no team effort, aloof hostesses were openly dismissive of passengers. food and drink were cut-price and worsened by late wine and bread. no water offered and meal items forgotten. entertainment choices were sub-par. no noise-cancelling headphones. no cosmetics in the dirty toilets. a dollar-shop amenity bag. i have had better economy experiences than this sector. shame on you british airways.",4th December 2016,Australia,Business Class,no,3,Rome to Heathrow,Solo Leisure,Yes,Negative
"hong kong to london, seats 22k and 22j. it was one of the worst journeys we have ever had to entail. my other half who is 6'3"" was locked into a paralysed position for 13 hours made worse when the passenger in front reclined their seat for 90% of the flight. the small metal box in front of his seat also restricted his leg room and comfort. he couldn't even watch the in-flight entertainment as there was barely a gap between the screen and his face after the seat in front was reclined. as a shorter limbed person at 5'4"", i was also deeply uncomfortable through most of the flight. placed in the middle, i barely had any where to put myself, seats were so narrow and confined and the person sitting on the other side of me was of slight build. my headphone socket was crackling and the film i wanted to watch, cleopatra, (with the desperate hope of killing 4 hours of time) wasn't working, it was just a black screen with audio. after travelling long haul last year to tokyo with another european airline, i could clearly detect a startling difference with the way economy passengers are treated on ba. within 10 minutes of takeoff the other airline cabin crew handed out bottles of water and bags of pretzels to customers. on ba we had to wait at least 30 minutes before being offered a drink. on this particular flight staff seemed unfriendly and unapproachable and there seemed to be a general contempt for economy travellers. would much rather pay more and travel with another airline than travel with ba long haul ever again.",3rd December 2016,United Kingdom,Economy Class,no,3,Gatwick to Venice,Solo Leisure,Yes,Negative
"london heathrow to zurich return using their business class. online check in and easy access through security at heathrow. lounge was overcrowded and not much better than using a coffee shop in the main terminal. seats onboard a321 are a joke for business class with very small legroom / seat pitch. food also shows reals signs of cost reduction, and ba is very much closer to low-cost carriers than airlines like lufthansa or swiss. staff service was best described as ""perfunctory"" - they provide f&b and then rest of the flight in the galley chatting very loudly about their christmas plans. return flight no different, except that cabin staff did manage to say hello as we boarded flight. ba has become a very expensive and disappointing way to fly.",2nd December 2016,United Kingdom,Business Class,no,5,Denver to Heathrow,Family Leisure,Yes,Positive
"absolute disgrace. they cancelled my flight 1 hour and 45 minutes before the the flight and put me on the next flight with 3 hours 15 minutes delay. i do have vip access to the lounges, however, non of the lounges in t5 accepts my lounge access card/company. when i asked the ba staff and managers to arrange access they only gave me an insulting £5 worth of voucher. surely they can do better than that. it probably doesn't mean anything to ba, but i am not a happy customer.",30th November 2016,United Kingdom,Economy Class,no,3,London to Tampa,Couple Leisure,Yes,Neutral
"bassinets by british airways cater for newborn only. my 10 month old son could not fit in it. the only option was a child seat, however my son sleeps lying flat and will not stay sleeping in the child seat. the only option is to sleep on you. however the arm rests are fixed in and hard. couple that with the need to breast feed your child, with his poor head and legs crammed in between the seat, either his head would get banged on the armrest or he'd kick the armrest at the other end. it was not a pleasant flight for myself or the child flying from london to hong kong. other airlines offer bassinets up to one years, some even 2 years and also have arm rests that see moveable so that your child is not so constrained in a tiny space for long hours. imagine a 13 hour flight with your child sleeping on you diagonally length wise because he can't fit in the seat. and every so often you fear he'll fall off your lap. to travel like this for any one or child is ridiculous and british airways refuse to do anything about it.",30th November 2016,United Kingdom,Economy Class,no,1,London to Sydney,Couple Leisure,Yes,Negative
"new york jfk to london. pleasantly surprised to have experienced a nice flight on ba. although the aircraft was relatively old, the seats were comfortable with a generous seat width and pitch. i had a rude shock when i was told i had to be seated in the middle seat of the middle row but it turned out alright. the slack with ba is that we have to purchase a seat if we wanted a specific seat. it is their way of ancillary income. the ife can be improved as they have very limited offerings. cabin crew were extremely friendly and attentive. they were tested when we had an ill passenger upon taxiing for departure. they showed compassion and were professional in their services.",29th November 2016,Malaysia,Economy Class,yes,7,BLR to LHR,Business,Yes,Positive
"london heathrow to belfast city. a really good flight, left on time, crew smiled and looked like they were having fun. a full cooked british breakfast which was served with great efficiency and was hot. interactions with passengers positive. landed on time and as had no luggage we were in the long queue for rental car in no time at all. flight back was not as good as was delayed due to fog earlier in the day, check in was surly but on board crew still fine. on both flights the crews paid extra attention to children and i liked how they delivered child lifejackets to the bins above kids for each child passenger. fare was cheap too, the only disappointment being that they don't have business class on domestic flights so we couldn't treat ourselves to a bit of luxury",29th November 2016,Australia,Economy Class,yes,3,Heathrow to Las Vegas,Family Leisure,Yes,Positive
"london to toronto return. business class outbound, first return. no complaints at all. both flights departed on time and landed slightly early. food actually quite decent for once, and crew on top of their game both directions. had the latest entertainment system both ways. clean comfy seats. not much else to add – if only british airways could get it this right every time.",28th November 2016,United Kingdom,First Class,yes,5,Rome to Heathrow,Solo Leisure,Yes,Neutral
"chennai to london heathrow with british airways. ok service and flight, but sunlight through the tinted windows was an issue as there are no blinds on the aircraft. i understand some airlines are now coming up with solutions but this is a design flaw on the 787, on a long daytime flight you can't cut out the sunshine, just lower its intensity. seat layout is poor so almost all seats you will be either needing to climb over someone or have someone climbing over you. not up to standard. the lounge in chennai was also poor.",28th November 2016,United Kingdom,Business Class,no,3,Gatwick to Venice,Solo Leisure,Yes,Negative
"singapore to london. having not flown british airways long haul for over fifteen years i was pleasantly surprised on my recent return trip to london. the premium economy seats on the upper deck were clean and comfortable and the food served was well above average. however, more important was the unobtrusive service provided by the cabin staff whereby announcements are kept to a minimum and there is no constant patrolling during the flight. both flights left and arrived on time. overall a very good experience.",28th November 2016,Singapore,Premium Economy,yes,3,London to Luanda,Couple Leisure,Yes,Positive
marrakesh to london gatwick with british airways. i fly ba very frequently and the service varies each time. the lounge at marrakesh is a joke with only a few seats and very limited choice of drinks - 2 miniature bottles of wine between approx 20 passengers. however the flight itself was good with nice meal and champagne. the cabin service manager was great going around offering drinks frequently for a 3 hour flight this was brilliant. the flightdeck kept us updated during the flight. my only other issue would be my baggage was marked with priority but was one of the last to come off.,27th November 2016,United Kingdom,Business Class,yes,5,BKK to LHR,Business,Yes,Positive
"it was a horrible experience while coming back from sydney to singapore on british airways. our baby stroller was marked for some other airline en route to france, so we now have to wait long way if it will finally come back to singapore.  we ordered special hindu meal. as per their staff, hindu meal is a vegeterian. however we were served rice and lamb. after that there was no alternate arrangements made. even the refreshment meal was provided with the leftovers bread which was hard to eat. the cabin temperature was very low and worsened during our 8 hrs journey. i pledge not to take british airways ever.",27th November 2016,Singapore,Economy Class,no,3,London to Tampa,Couple Leisure,Yes,Negative
"london heathrow to san francisco with british airways. ba was once a classy airline for their first class service, amenities and food. but they have succumbed to the economic pressures to the point their first class service is a lot less than it use to but the price is still absurd even using points. they even hijack you for an additional $1000. or as i like to say, you cough up 200k in points and the $1000 fee covers their real expense for you to sit in first. they have jammed more seats in so the attendants have more customers. the seat in spite of its new design is tighter and less comfortable for a 6'1"", 240 person to do anything but sit up and watch a movie or hope they do not run out of the food selection on the menu. second, the staff use to be the most experienced flight attendants but the last two times i flew ba in first i had young attendants who clearly were not use to serving fc customers. a request for say an additional pillow or second cup of coffee went unanswered more than once which is a sign of inexperience. the last trip flying home in april i was handed a menu with a tasting menu or a traditional menu. first class was maybe 50% full. when it was my turn, i asked the flight attendant if i could select some of the tasting menu along with features from the traditional menu - she said she would check and shortly returned to say they were out of the tasting menu items. now please explain to me how any international first class service could be out of food 10 minutes after leaving the airport? clearly if they do not have enough for mix or matching then this is a stingy sign of cutbacks on the lowest scale to save a few pennies. at the average price of $10,000 for a first class seat, ba should make damn sure first class has all the food you need. their menu also talks about late night snacks and on the last two ba first class flights to the us when i wanted to try these snacks they were gone as they are shared with business class. the food served is both uninspiring and generally on the level of us airlines first class which is cooked to death and reheated. way to go ba, you have sunk to the lowest common denominator. third, when i arrive in sf and in spite of my luggage having a priority tag, it never comes out in the first batch and often towards the end of the delivery so they have failed on even that count. unlike the first class asian carriers like singapore and cathay where my fc luggage arrives first, ba is always hit and mostly miss. finally, what galls me is the worthless survey they ask me to fill out describing my fc experience on ba. i let them know everything i said in this review and the last question asked is ""would you like us to call you regarding this review and experience""? yes, i say and not once has someone called. i am waiting for the day when ba announces ""all passengers including first"" should buy food before boarding and headsets are for sale.",27th November 2016,United States,First Class,no,1,LHR to CPT,Couple Leisure,Yes,Neutral
"first leg dus to lhr was club europe. while business class has no different seating to economy this aircraft was really a joke. it was completely outdated and worst of all it seems to be not cleaned before the flight. crumbs on the seat. table was sticky. asking crew members they apologize and are very friendly and tried to help with cleaning. overall crew on this flight was extremly friendly. next leg from lhr to bos very similar experience: business class was upgraded with an outstanding new ife but seats are still old. the housing of my seat was taped with gaffa tape next to the footstool. asking crew about that they told me that the housing fell off and engineering was not able to fix it so they used gaffa tape. in general the 747-400 looks quite a bit dated and might need a further upgrade rather than the ife and some smaller details (e.g. carpet should be replaced - extremely dirty and roved). lounge in lhr very outdated. boarding in lhr was somewhat uncoordinated as a lot of people don't listen to the announcements and try to board and impede boarding of other persons. crew on board once again very friendly and effective. meal choice was ok. but my impression is that quality is going down, e.g. beef was very fibrous and vegetable was somewhat overcooked. club kitchen -> long time an outstanding feature of ba is a joke nowadays. selection seems to go down every time i fly. worst of all: one of my bags did not made it to the aircraft. this itself can happen and is not a problem at all but the handling of this was a real joke. after identifying that my bag seems to be lost i went to the counter (even if finding it is not that easy in boston). i explained my problem and the lady looked in the computer and said that i did not checked another bag -> although i had my tag that i could show to her. i had to discuss with her for several minutes and had to ask for the manager on duty in order to get a baggage claim written. manager on duty was very unfriendly and except for writing the claim he did not provided any additional help. no apologies for inconvience at all. last year i had one bag that was delayed. this handling was done by another person and was completely different experience. extremely helpful and really sorry about the inconvience. summarizing: flying ba for business for many years and on a regular basis now. the changes under the new boss can be seen. while in the past british airways was really good it seems to decline from month to month. this time flight was one of the worst i ever had with ba. i assume that if there is no change in the near term i will choose another airline in future e.g. a low cost carrier as there is not that much difference any more. if you read a lot of the other reviews you will see that i am not the only one thinking like this. i can't any longer recommend ba as especially the value for money is no longer given.",25th November 2016,Germany,Business Class,no,7,Heathrow to Las Vegas,Family Leisure,Yes,Positive
"london to singapore in first class was british airways at its best. the concorde lounge was well staffed and the food and wine was exquisite. i was welcomed to the first class cabin by an enthusiastic cabin crew. there was a slight delay on taking off which was made easier with a second glass of champagne. throughout the flight and cabin crew achieved the perfect balance of being friendly, helpful and interested as well as anticipating what i needed. the food was to a high standard and my wine glass was kept topped up. after dinner, the crew member assigned to me, a mirthful frenchman, made my bed and i had six hours sleep to wake up to breakfast consisting of fruit followed by a full english. the aircraft arrived on time and we left with a minimum of fuss. the cabin was clean, the seats seemed new and the toilets, although small, were kept spotless. i could not fault anything before and during this flight.",25th November 2016,United Kingdom,First Class,yes,3,Rome to Heathrow,Solo Leisure,Yes,Positive
"london heathrow to delhi return. i thought air india was the worst until i traveled by british airways via premium economy.  prices are not at all comparable thus i assumed they must be charging more for nicer services but not all. british airways staff at delhi airport were rude and unprofessional. i have having plenty of weight limit left but even a few mm difference in cabin baggage they did not allowed as it was little hard to put in measuring case because of handle. another small camera pouch they consider as a separate bag. i was forced to give my cabin bag to my father in law and left with a normal handy bag with all stuff in it. coming to the aircraft, food and staff - equally poor. food was horrific, seats were torn, headphone socket not working, food tray was broken (i was forced to keep serving tray on broken food tray giving support by thighs) , tv screen was not at all visible because of too many scratches. staff was not able to help at all. nightmare experience.",25th November 2016,United Kingdom,Premium Economy,no,5,Gatwick to Venice,Solo Leisure,Yes,Negative
"marrakech to london gatwick with british airways. baggage allowance is a joke. doesn't matter how much it weighs as long as bags are of a certain size but even this is not enforced or monitored by the airport staff. apparently you are entitled to have one case and one piece of hand luggage to carry onto the plane. however, on boarding the plane there were people that had 3, or even 4 items of luggage which were far larger than ours. these items were crammed into the overhead compartments whilst other flyers had to remove their smaller bags and put them by their feet causing an even more cramped uncomfortable space to travel in. other flyers had their duty free items smashed and broken. when we complained to the cabin crew they were in agreement and there was even a manager on the flight who witnessed this and gave us his business card to use as a reference when making our complaint the customers services team as he was also shocked by what was going on. when contacting customer services they were far from helpful even given the fact that there was an airports manager on the flight. absolutely shocking behaviour from a so called reputable airline. we will certainly never be using ba again.",25th November 2016,United Kingdom,Economy Class,no,3,London to Luanda,Couple Leisure,Yes,Positive
"domestic economy from london heathrow to belfast return. check in at t5 quick and easy i was able to use fast track and the north executive lounge through my ff status, boarding through gate a7 onto a clean looking a320. departed on time crew provided a snack and drink on the 1 hour flight. return check in again quick although the security system at bhd is slow very slow. used the executive lounge which is okay with a supply of snacks and drinks, it's also adjacent to the gate used by ba is pretty handy. departed on time, seat 16b on another clean a320, crew served a hot breakfast on this flight which was pretty good for a domestic flight. flight time on the return a little longer 1hr 40 min due to congestion at lhr. good service, i guess the only option not cheap, but would use again even if i had a choice.",25th November 2016,United Kingdom,Economy Class,yes,3,Denver to Heathrow,Family Leisure,Yes,Positive
"i booked and bought an online ticket for a multi destination 6 week trip that took me from bangkok to london, angola, london, nigeria, london and back to bangkok. before purchase i called the british airways service number on website and asked if i needed to change rearrange dates with this ticket was that ok - was told 'yes but have to pay a £150 fee', and nothing else a little steep but ok. i further checked extra's would be against the visa card used to purchase the ticket, 'of course' was the reply. ba make you pay to book a specific seat now. the trip started okay but the aircraft used on the bangkok flight very worn and old - anyway got through to 3rd leg visiting nigeria for 12 days business and looked like i could arrange to come home earlier - fired up the ba app on internet roaming service to find its not possible to re-book on the app as indicated - not given any local number to call - search out possible ba numbers - to find they no longer have an office in nigeria and get onto what transpires to be their call centre in india. operator checks there is space on an earlier flight but then announces he has to check the additional cost to come up with an extra of £1000+. i decline this option and explain the £150 as advised (actually app says change cost is £0). later ba call centre call back and say they can offer a reduced cost - hustling for business like they are haggling in an open market - however for this option it would not be possible to take payment by visa. it had to be paid in cash to only a single bank branch in abuja (during bank open hours) - some 6 hours and 300km's away. by now i had readjusted to fly on the original dates fuming with ba over the mis sold flight and ridiculous impractical conditions they try and enforce. taking this up with ba complaints - takes 2 month to elicit a first response - to be dealt with on one sided website. they do not take responsibility for the advice given over the phone, will not acknowledge any shortcomings of their app refusing to discuss it and failure to advise on their very special conditions that apply to their nigerian flights. my return flight to bangkok on a tired sunken seat with bent worn and distorted table closures and scratched video screen topped by the sight of ba cabin staff too short and rotund to be able to reach and close the overhead lockers before take off - and persuading a bemused passenger out his seat to do this for them that this is not the former 'flag carrier' but a worn out and low cost discount carrier. never again.",23rd November 2016,Thailand,Economy Class,no,3,London to Sydney,Couple Leisure,Yes,Negative
"london gatwick to antigua. having flown premium economy with other airlines we decided to upgrade our cabin for our holiday in antigua at a cost of £350 to british airways world traveller plus, and we were told by the sales adviser that we would receive a bigger seat pitch more personal service with dedicated staff for this cabin grade, better choice of meals and beverages. what we received was a polarisation of this - we had very poor service and the only difference between economy and our cabin grade was a slightly bigger seat pitch. having flown long haul with ba on numerous occasions in the past i am completely shocked at the service we received - it was more like a budget airline - we received a half class of bubbly prior to take off, this was quickly followed with a drink service (one drink per passenger), we then received our meal service. i asked for white wine which was warm not chilled and there was no ice - about 50 minutes later they served lukewarm coffee. this is not the type of service i expect on any flight let alone in the upgraded world traveller plus cabin. after several hours when no other drinks service was offered i went to the galley to ask for a drink for myself and my fiancé, to be told there were no drinks left apart from whisky or red wine - which neither one of us drink. as the flight wasn't full i cant believe there would be a problem you just don't expect to hear this given the cost of the holiday and the upgrade that you have can only have 2 drinks on an 8 hour plus flight? 5 hours after the dinner service we were given a sandwich and that was the conclusion of the service aboard a flight of more than eight hours - certainly not what i would expect from an airline such as ba. our return flight was in economy and the only difference was a slightly smaller seat pitch but as this flight again wasn't full we ended up with 3 seats between 2 of us. the service was exactly the same as on the outboard flight ie. same poor standard and for the first time ever there was no hot breakfast before landing we were served a brick hard croissant. i was looking to book a long haul holiday to the maldives next year with ba but after this flight and the appalling customer service i received when i complained about the service on the flight when i was told that when you pay for an upgrade your paying for a bigger tv screen and bigger seat - which i certainly don't think that justifies £350 upgrade fee. if you are thinking of upgrading i would think twice about what you are paying for. ba have now lost my custom and having spoken to other people on holiday i am not alone in making this decision and therefore i have booked my holiday next year with virgin atlantic. ba can no longer rely on there previous good name they are cutting too many corners giving poor service and not interested in listening to their customer they need to decide if they are going down the budget airline route. if that is the case, they need to drastically cut the prices or start to give a more professional service and raise the standards where customers feel they are getting a good service for the price they have paid.",23rd November 2016,United Kingdom,Premium Economy,no,1,BLR to LHR,Business,Yes,Negative
"london heathrow to moscow with british airways. good terminal 5 ground service. reasonable former bmi a321 with avod entertainment which was nice. seat comfort okay for 3-hours but would not have liked any longer. staff service completely forgettable from the outset - they really weren't making the effort. minimal communication and 2 rushed services at the start and end of the flight. food is a joke - a very small sandwich for a 3-hour flight it honestly can't get any lower (or can it?) flight kept to schedule - ticket was quite good value and my rating is really based on the ""value"" rather than experience.",23rd November 2016,United Kingdom,Economy Class,yes,9,Heathrow to Las Vegas,Family Leisure,Yes,Positive
"london gatwick to barbados with british airways. ba now stands for budget airways. having flown ba for many years in all classes from first to economy, i could not believe how everything has declined so drastically. i was offered a drink, no snacks were offered, as in the past. there was a choice of 2 meals, a pasta and sausages and mash, by the time it got to me there was only one meal on offer, i was refused a second bottle of wine with the meal. before arrival in barbados afternoon tea was a mini twix bar, i took 2 and was ordered to put one back. the earphones for the inflight entertainment were so uncomfortable and kept falling out of my ears. the return flight was no better with breakfast before arrival being just an inedible bun. having recently flown on oman air, virgin atlantic and turkish airlines where the food and drink on offer was fantastic. mr cruz should realise that he is running a once proud national airline not vueling, ba as our national airline is a total embarrassment.",22nd November 2016,United Kingdom,Economy Class,no,7,Rome to Heathrow,Solo Leisure,Yes,Neutral
"flew british airways from johannesburg to london heathrow. travelled several times in business class but booked first class this time. outgoing flight on 747 seats surprisingly cramped (centre seats), food not great and entertainment options poor but great bed made up for this. yesterday's flight on a380 also disappointing but seats much better (centre seats). entertainment better. food quality very poor. my starter of vegetable tart had uncooked pastry on the bottom. i returned my main course of fillet steak because it was vastly overcooked and the potato/cheese thing uncooked. the 'chef' told me all meals arrived in packs and were just heated up. he could not alter the cooking time for the steak. i had a very ordinary salmon fillet instead. the sweet was just two slices of madeira cake with a spoon of jam and a spoon of something white. the breakfast muesli was horrible and the french toast was inedible. the wine didn't seem to be what was described and the orange juice seemed out of a carton. the first class lounge experience was very business class at the most. will not travel ba first again. felt very rushed in the morning with staff desperate to serve breakfast not giving chance for people to wake up and get dressed.",21st November 2016,United Kingdom,First Class,no,3,Gatwick to Venice,Solo Leisure,Yes,Negative
"sofia to london heathrow, and the flight was on time. however cabin interior is awful, seats are cramped and uncomfortable. on board service quality has declined on ba flights and this flight was not exception. offered food was only a sandwich (compared to hot meal recently) - it's a joke. economy class complimentary service will end soon. cabin crew was just ok, but i’m giving 2 stars because they can’t be much greater than the level of services provided. our luggage was delayed 45 mins at heathrow terminal 5. ba now offering low-cost airline standard - the only difference is price, it's more expensive which makes poor value for money. i'm still using ba regularly and i can see the obvious downgrade in standards during the last 2-3 years and even more dramatic decline in 2016. shame on british airways for sliding down to so cheap and so poor image!",21st November 2016,United Kingdom,Economy Class,no,3,BKK to LHR,Business,Yes,Negative
"i booked flights with british airways from london-kuala lumpur-bandar-kuala lumpur-london. these were all booked at the same time and they also took the booking, therefore contract, with royal brunei airlines (rbi) for the kl/bandar/kl legs. for whatever reason rbi cancelled one of the flights, and it was only by accident that i found this out, by going on the ba website. i had to change a flight and waste a day in brunei. ba have refused all responsibility, even on the lack of communicating the cancelled flight to me. i find this deplorable after booking everything through ba. i would certainly never book anything direct with ba again, as this lack of service by a major carrier to a customer is despicable.",17th November 2016,United Kingdom,Economy Class,yes,5,London to Sydney,Couple Leisure,Yes,Negative
the space provided for business class seats on this flight is just ludicrous. i have flown budget airlines that offer better leg room. this carrier is aware that they have exclusivity on business class on this route as there are no alternatives. for the price paid for these tickets versus the value received this is daylight robbery. next time i need to travel to ct i will fly saa through jhb.,17th November 2016,South Africa,Business Class,no,3,LHR to CPT,Couple Leisure,Yes,Neutral
"barcelona to london. has anyone ever been told to bring marriage certificate while traveling abroad to spain? according to a british airways gate agent at barcelona airport, i supposed to have my marriage certificate with me in order to get on the airplane and leave spain. i drove across the border from the states to meet a friend in canada and flew out from vancouver on the same day to london for a week, and then from london to spain for two weeks. all along the way of going through customs of canada, uk, and spain, i was granted entries without been questioned till the last day of my vacation when i was leaving spain. all of a sudden, this gate agent asked me “where are you going?  where do you live?  are you traveling alone?” i thought she was rather friendly until she pulled me aside from the gate and tell me “you have to wait here, i need to talk to someone.” there were at least over 50 people behind me waiting and trying to figure out why i cannot get on the airplane.  i am a permanent resident of us; however, i am a citizen of the country participates in visa waver program, which means i don’t need visa to enter spain and definitely not when i leave. so, what’s wrong!? my name on the boarding pass and passport are matching but the name on my us permanent resident card does not match with my passport. of course, i just got married so that i have different last name from my passport, but even that, what kind of right does she have to ask me for my us permanent resident card and stop me at the gate like that?! so, when she asked me if i have any documentation to clarify the mismatch of my last name, i jokingly answered “marriage certificate??” next thing i know was i cannot get on the airplane because i didn’t have marriage certificate with me, and what made it even funnier was after she spoke to someone, she said to me ""you can go this time but next time you will have to have marriage certificate with you."" it was beyond ridiculous!",16th November 2016,United States,Economy Class,no,1,Heathrow to Las Vegas,Family Leisure,Yes,Positive
"london to lisbon with british airways. very bad flight, when a person does not want to check in baggage it is because he packed to not waste time in the luggage pick up. my luggage was taken during the boarding procedure because they said the flight was full, yes it was but there was enough space to all to have the mini trolley that i had in the plane, and people that i must say had bigger luggage then my own. once in the plane fast exit from heathrow and once on flight a bag of chips, or peanuts, very healthy. on the arrival at lisbon plane parked near the military aerodrome on portela (figo maduro), and 10 minutes bus ride to the terminal and more 10 minutes to wait for luggage. long time ba customer but do not know if i will fly again.",14th November 2016,Portugal,Economy Class,no,3,London to Luanda,Couple Leisure,Yes,Positive
"recently flew a return trip with ba to miami onboard one of their a380 aircraft, and what has happened to this airline! outbound flight delayed 1 hour once we had boarded due to a broken seatbelt which should have been spotted during turnaround. having flown the route several times on the 747 we were looking forward to trying the a380. we were seated in row 31 which is the last row in the mid section just before the central galley area. from the moment we sat down there was a dreadful whine coming from the wall behind us! upon asking the crew if this would stop they said they it was the fridges in the galley and once the engines started we wouldn't hear it. this went on for 9 hours and the crew issued us ear plugs to wear and said that the noise was ""normal"" on all their a380 aircraft. the food was horrid and only a choice of 2 meals. i chose a curry which had no flavour and was incredibly greasy. the return flight was a different a380 which had the same awful noise but it did stop around 2 hours prior to arrival. the food on the return was as disgusting as on the outbound leg and as for the ""breakfast"" it consisted of a cold bagel type thing with one blob of cream cheese in the middle. the standards have dropped so far it is incredible. i'm certain if i sat in row 31 on emirates or the like i wouldn't be issued with ear plugs. i'm booked to miami once more in early 2017, fortunately on a quiet 747 and after that i will no longer fly with ba.",14th November 2016,United Kingdom,Economy Class,no,5,Denver to Heathrow,Family Leisure,Yes,Negative
"lisbon to london with british airways. nice flight. fast boarding, full flight but left lisbon on time and got to london with no delays. food on flight was nice for such a cheap flight. not like my return trip but british airways makes us feel special when the service is ok.",14th November 2016,Portugal,Economy Class,yes,3,BKK to LHR,Business,Yes,Positive
"the flight started in the first class concorde lounge at t5. it is certainly showing signs of wear with tacky material hanging down around some of the seats. the seat cushions need refilling. the general ambiance is quite good. a refurbishment is long overdue. the food quality and choice is generally quite poor - although the crab tortellini was good. nobody invited us to choose from the menu or to offer drinks. i had to walk the floor and find someone. all sloppy. the menus also were worn and scruffy and someone, a child i think, had scribbled on the inside, some funny cartoons. we boarded and the flight departed to the minute. all good. the boeing 787 has a small 1st class and i realized that the space also is smaller than the 777 option. the 747 alternative is a total disaster and i go to great lengths to avoiding flying their 747s. food was ok. very little wow factor. the meze was fine. they ran out of cod - and at this point i don't think we had hit the cruise. seven from eight passenger - and only one cod apparently. i had the lamb which was alright but on short night flights i prefer not to have meat. my wife's allocated seat was - broken, hence the vacant seat on the flight. so she sat one side of the plane and i sat the other. brilliant. the plane was only six months old. given the competition on this route you would think ba would want to impress. was it a coincidence i wonder that there was no arabic or asian passengers on the flight? with emirates on this route - why would there be? we landed on time and then had to walk miles. another underwhelming experience with ba. i wonder what those who spent £3,000.00 one way thought.",13th November 2016,United Kingdom,First Class,no,3,London to Tampa,Couple Leisure,Yes,Positive
"the flight started badly in the so called new concorde lounge at dubai. i have reviewed this in the lounge section. the situation was worsened by a three hour delay to our departure. apparently minimum rest period had been compromised. not sure if this was true but we ended up with a 787 crew not a 777 crew. on the 777 the first seating is double that of a 787 and result was we were served, the entire full cabin of 17 - by one fa. he did his best but must have walked about 10 miles in the flight trying to keep us happy. the boeing 777 first seat is the largest of the three options (747/787/747). mine was starting to show signs of wear. no amuse bouche. as announced last month ba have cut back this cost. wow, a £3 saving on a £3,00o one way ticket. well done ba. champagne was lukewarm, as is often the case. lamb and fennel salad appetizer was ghastly. horrible in fact. the soup was the usual butternut squash soup (do they offer anything else or am i unlucky) and was lukewarm but okay. the apricot chicken was pleasant enough but i could not taste any apricot. a bistro product at best. later in the flight i had afternoon tea - sandwiches. all dry and tasteless. watched a movie on the inflight entertainment system and this was fine. nodded off and had two hour nap which was nice. landed without being stacked for a change. as one comes to expect with ba, underwhelming due to the bean counters at lhr cutting back - as well as increasing fares. i'd like to see the entire ba board removed and a new dynamic team of men and women with vision and inspiration for our national carrier.",12th November 2016,United Kingdom,First Class,no,5,London to Sydney,Couple Leisure,Yes,Positive
"london heathrow to bangkok with british airways, and they operate some of their oldest planes on this route so the screen is only 6"" with square lines across the screen. the food is very poor on quality compared to other airlines covering the same route, only two offerings of water on the outbound flight. usually fly this route in business class and british airways offering is far inferior product on this route also. despite being silver member will be voting with my feet and using other airlines when available on all future travels. this was one bad trip too many with british airways.",10th November 2016,United Kingdom,Premium Economy,no,3,BLR to LHR,Business,Yes,Negative
this was my first time to fly into london city airport with british airways. i found the experience to be very positive indeed. the check-in agent was very friendly and professional and made a very positive first impression. the gate staff were friendly and polite and boarding was quick and efficient. during this short flight the captain was informative and the cabin crew did a sterling job at serving drinks and snacks on a relatively short flight. disembarkation was orderly and my bag arrived in good time too. i am a very happy customer and will use this route again in the future.,9th November 2016,United Kingdom,Economy Class,yes,1,Rome to Heathrow,Solo Leisure,Yes,Positive
